Response ID,Response Status,IP Address,Timestamp (mm/dd/yyyy),Time Taken to Complete (Seconds),Country Code,1.1.1,1.1.2,1.1.3,1.1.4,1.1.5,1.1.6,1.1.7,1.1.8,1.1.9,1.1.10,1.2.1,1.2.2,1.2.3,1.2.4,1.2.5,1.2.6,1.2.7,1.2.8,1.2.9,1.2.10,1.3.1,1.3.2,1.3.3,1.3.4,1.3.5,1.3.6,1.3.7,1.3.8,1.3.9,1.3.10,1.4.1,1.4.2,1.4.3,1.4.4,1.4.5,1.4.6,1.4.7,1.4.8,1.4.9,1.4.10,1.5.1,1.5.2,1.5.3,1.5.4,1.5.5,1.5.6,1.5.7,1.5.8,1.5.9,1.5.10,1.6.1,1.6.2,1.6.3,1.6.4,1.6.5,1.6.6,1.6.7,1.6.8,1.6.9,1.6.10,1.7.1,1.7.2,1.7.3,1.7.4,1.7.5,1.7.6,1.7.7,1.7.8,1.7.9,1.7.10,1.8.1,1.8.2,1.8.3,1.8.4,1.8.5,1.8.6,1.8.7,1.8.8,1.8.9,1.8.10,1.9.1,1.9.2,1.9.3,1.9.4,1.9.5,1.9.6,1.9.7,1.9.8,1.9.9,1.9.10,1.10.1,1.10.2,1.10.3,1.10.4,1.10.5,1.10.6,1.10.7,1.10.8,1.10.9,1.10.10,2.1.1,2.1.2,2.1.3,2.1.4,2.1.5,2.2.1,2.2.2,2.2.3,2.2.4,2.2.5,2.3.1,2.3.2,2.3.3,2.3.4,2.3.5,2.4.1,2.4.2,2.4.3,2.5.1,2.5.2,2.5.3,2.5.4,2.5.5,2.6.1,2.6.2,2.6.3,2.6.4,3.1,3.2,3.3,3.4,3.5,3.6,3.7,3.8,3.9,3.10,4.1,4.2,4.3,4.4,4.5,4.6,4.7,4.8,4.9,4.10,4.11,4.12,5.1,5.2,5.3,5.4,5.5,5.6,5.7,Gender,Age (as of 2022),Ethnicity,Monthly Household Income,Year of Study,School,Diploma,5.1 First Click (Seconds),5.1 Last Click (Seconds),5.1 Page Submission Time (Seconds),5.1 Number of Clicks,5.2 First Click (Seconds),5.2 Last Click (Seconds),5.2 Page Submission Time (Seconds),5.2 Number of Clicks,5.3 First Click (Seconds),5.3 Last Click (Seconds),5.3 Page Submission Time (Seconds),5.3 Number of Clicks,5.4 First Click (Seconds),5.4 Last Click (Seconds),5.4 Page Submission Time (Seconds),5.4 Number of Clicks,5.5 First Click (Seconds),5.5 Last Click (Seconds),5.5 Page Submission Time (Seconds),5.5 Number of Clicks,5.6 First Click (Seconds),5.6 Last Click (Seconds),5.6 Page Submission Time (Seconds),5.6 Number of Clicks,5.7 First Click (Seconds),5.7 Last Click (Seconds),5.7 Page Submission Time (Seconds),5.7 Number of Clicks,Neuroticism B5,Agreeableness B5,Conscientiousness B5,Extraversion B5,Openness B5,NFC,CFC,Reciprocation STPS,Scarcity STPS,Authority STPS,Commitment STPS,Consensus STPS,Liking STPS
77714777.0,Started,116.15.128.252,06/17/2022 01:58,16.0,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
77714785.0,Started,119.56.111.52,06/17/2022 01:58,125.0,SG,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,4.0,2.0,3.0,3.0,4.0,4.0,2.0,4.0,3.0,4.0,3.0,4.0,2.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,3.35,3.1,,,,,,,,,,
77714825.0,Started,175.156.149.67,06/17/2022 01:58,370.0,SG,4.0,3.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,3.0,5.0,4.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,1.0,3.0,4.0,2.0,2.0,3.0,4.0,3.0,4.0,4.0,3.0,3.0,2.0,3.0,4.0,4.0,2.0,3.0,2.0,3.0,2.0,3.0,3.0,1.0,2.0,2.0,3.0,3.0,4.0,3.0,3.0,1.0,3.0,1.0,3.0,3.0,4.0,5.0,3.0,2.0,3.0,5.0,2.0,3.0,1.0,4.0,5.0,3.0,4.0,3.0,3.0,4.0,3.0,5.0,5.0,3.0,3.0,5.0,5.0,4.0,3.0,2.0,2.0,4.0,5.0,5.0,3.0,3.0,5.0,4.0,5.0,3.0,2.0,4.0,3.0,5.0,4.0,2.0,3.0,4.0,5.0,3.0,3.0,3.0,1.0,4.0,4.0,3.0,4.0,3.0,4.0,2.0,2.0,2.0,3.0,4.0,4.0,3.0,5.0,2.0,3.0,4.0,3.0,3.0,4.0,3.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,,2.0,2.0,1.0,2.0,1.0,18.0,Chinese,2.0,2.0,1.0,IFM,0.0,3.0,3.0,5.0,7.0,8.0,8.0,5.0,0.0,0.0,11.0,0.0,13.0,13.0,11.0,2.0,1.0,2.0,2.0,3.0,3.0,3.0,3.0,5.0,1.0,15.0,15.0,7.0,3.1,3.0,3.0,2.85,3.5,3.2,3.0833333333333335,3.8,4.0,3.6,3.0,3.0,3.75
77714913.0,Started,121.6.80.213,06/17/2022 01:58,239.0,SG,1.0,2.0,2.0,1.0,2.0,1.0,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,5.0,2.0,3.0,2.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,4.0,5.0,3.0,2.0,4.0,3.0,4.0,4.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.7,4.2,3.55,,,,,,,,,,
77714946.0,Completed,116.87.93.65,06/17/2022 01:59,944.0,SG,3.0,4.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,3.0,2.0,4.0,1.0,5.0,4.0,5.0,4.0,5.0,3.0,5.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,2.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,2.0,3.0,3.0,4.0,3.0,2.0,2.0,3.0,1.0,5.0,4.0,5.0,2.0,5.0,3.0,2.0,2.0,2.0,4.0,2.0,4.0,2.0,1.0,3.0,4.0,2.0,4.0,3.0,4.0,1.0,2.0,2.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,3.0,2.0,3.0,4.0,1.0,1.0,1.0,3.0,2.0,3.0,4.0,4.0,4.0,5.0,1.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,5.0,5.0,4.0,2.0,5.0,4.0,3.0,4.0,5.0,4.0,1.0,4.0,4.0,2.0,4.0,3.0,1.0,3.0,4.0,3.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,2.0,2.0,3.0,3.0,,1.0,3.0,4.0,1.0,1.0,2.0,2.0,20.0,Malay,1.0,2.0,3.0,Diploma in Accountancy and finance,0.0,0.0,11.0,0.0,8.0,9.0,9.0,3.0,8.0,9.0,9.0,3.0,7.0,7.0,7.0,3.0,8.0,9.0,9.0,3.0,8.0,9.0,9.0,3.0,6.0,7.0,7.0,3.0,3.75,3.9,3.0,2.45,3.05,2.6,3.3333333333333335,3.8,4.2,3.6,4.333333333333333,3.0,2.75
77715027.0,Completed,175.156.116.37,06/17/2022 01:59,626.0,SG,2.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,4.0,2.0,4.0,1.0,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,3.0,4.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,3.0,3.0,5.0,2.0,4.0,4.0,4.0,2.0,3.0,5.0,4.0,3.0,1.0,4.0,4.0,3.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,5.0,3.0,5.0,4.0,1.0,2.0,3.0,4.0,4.0,4.0,5.0,1.0,5.0,5.0,1.0,5.0,2.0,1.0,1.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,4.0,4.0,2.0,2.0,4.0,5.0,5.0,3.0,2.0,2.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,4.0,5.0,4.0,3.0,4.0,4.0,4.0,2.0,2.0,,2.0,4.0,4.0,3.0,1.0,17.0,Chinese,1.0,2.0,1.0,AEG,10.0,11.0,11.0,3.0,11.0,11.0,11.0,2.0,0.0,0.0,11.0,0.0,7.0,7.0,11.0,2.0,5.0,5.0,11.0,2.0,7.0,8.0,8.0,3.0,14.0,15.0,15.0,3.0,2.8,3.85,3.55,3.8,3.25,3.6,3.8333333333333335,4.8,4.8,4.6,5.0,4.6,3.0
77715076.0,Started,151.192.233.46,06/17/2022 01:59,604.0,SG,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,4.0,5.0,2.0,3.0,3.0,4.0,3.0,5.0,3.0,4.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,3.0,4.0,5.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,3.0,3.0,2.0,2.0,1.0,3.0,5.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,3.0,2.0,4.0,4.0,3.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,3.0,2.0,4.0,3.0,3.0,2.0,2.0,3.0,2.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.25,3.5,3.2,2.25,2.7,,,,,,,,
77715370.0,Started,119.56.107.177,06/17/2022 02:01,309.0,SG,3.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,2.0,3.0,5.0,3.0,3.0,4.0,3.0,5.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,5.0,3.0,3.0,4.0,3.0,4.0,5.0,3.0,5.0,2.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,2.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.05,3.8,3.35,,,,,,,,,,
77715534.0,Completed,218.186.131.73,06/17/2022 02:02,363.0,SG,4.0,2.0,1.0,3.0,3.0,4.0,5.0,4.0,2.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,2.0,4.0,3.0,3.0,2.0,3.0,3.0,2.0,4.0,2.0,5.0,4.0,2.0,2.0,2.0,4.0,4.0,2.0,3.0,1.0,2.0,5.0,4.0,2.0,4.0,4.0,3.0,4.0,4.0,3.0,2.0,3.0,5.0,5.0,3.0,5.0,3.0,3.0,3.0,3.0,3.0,4.0,1.0,3.0,3.0,2.0,3.0,5.0,5.0,2.0,3.0,3.0,3.0,1.0,1.0,5.0,3.0,3.0,5.0,5.0,3.0,5.0,2.0,4.0,2.0,3.0,5.0,2.0,2.0,5.0,2.0,4.0,4.0,4.0,2.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,5.0,2.0,2.0,4.0,2.0,3.0,3.0,3.0,3.0,5.0,3.0,5.0,3.0,3.0,5.0,4.0,4.0,3.0,5.0,1.0,5.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,1.0,2.0,4.0,1.0,2.0,4.0,2.0,5.0,4.0,3.0,1.0,2.0,4.0,4.0,4.0,4.0,2.0,4.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,,No,1.0,2.0,1.0,ENG,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,6.0,3.45,2.85,3.55,3.15,3.3,2.7,3.0833333333333335,3.2,2.8,3.8,4.333333333333333,3.4,3.25
77715554.0,Started,121.6.80.213,06/17/2022 02:03,8.0,SG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
